Date,Open,High,Low,Close,Adj Close,Volume
2020-10-21,40707.30859,40707.30859,40707.30859,40707.30859,40707.30859,0
2020-10-22,40558.49219,40558.49219,40558.49219,40558.49219,40558.49219,0
2020-10-23,40685.5,40685.5,40685.5,40685.5,40685.5,0
2020-10-26,40145.50391,40145.50391,40145.50391,40145.50391,40145.50391,0
2020-10-27,40522.09766,40522.09766,40522.09766,40522.09766,40522.09766,0
2020-10-28,39922.45703,39922.45703,39922.45703,39922.45703,39922.45703,0
2020-10-29,39749.85156,39749.85156,39749.85156,39749.85156,39749.85156,0
2020-10-30,39614.07422,39614.07422,39614.07422,39614.07422,39614.07422,0
2020-11-02,39757.58594,39757.58594,39757.58594,39757.58594,39757.58594,0
2020-11-03,40261.13281,40261.13281,40261.13281,40261.13281,40261.13281,0
2020-11-04,40616.13672,40616.13672,40616.13672,40616.13672,40616.13672,0
2020-11-05,41340.15625,41340.15625,41340.15625,41340.15625,41340.15625,0
2020-11-06,41893.0625,41893.0625,41893.0625,41893.0625,41893.0625,0
2020-11-09,42597.43359,42597.43359,42597.43359,42597.43359,42597.43359,0
2020-11-10,43277.64844,43277.64844,43277.64844,43277.64844,43277.64844,0
2020-11-11,43593.67188,43593.67188,43593.67188,43593.67188,43593.67188,0
2020-11-12,43357.1875,43357.1875,43357.1875,43357.1875,43357.1875,0
2020-11-13,43442.99609,43442.99609,43442.99609,43442.99609,43442.99609,0
2020-11-14,43637.98047,43637.98047,43637.98047,43637.98047,43637.98047,0
2020-11-17,43952.70703,43952.70703,43952.70703,43952.70703,43952.70703,0
2020-11-18,44180.04688,44180.04688,44180.04688,44180.04688,44180.04688,0
2020-11-19,43599.96484,43599.96484,43599.96484,43599.96484,43599.96484,0
2020-11-20,43882.25,43882.25,43882.25,43882.25,43882.25,0
2020-11-23,44077.14844,44077.14844,44077.14844,44077.14844,44077.14844,0
2020-11-24,44523.01953,44523.01953,44523.01953,44523.01953,44523.01953,0
2020-11-25,43828.09766,43828.09766,43828.09766,43828.09766,43828.09766,0
2020-11-26,null,null,null,null,null,null
2020-11-27,44149.71875,44149.71875,44149.71875,44149.71875,44149.71875,0
2020-12-01,44655.44141,44655.44141,44655.44141,44655.44141,44655.44141,0
2020-12-02,44618.04297,44618.04297,44618.04297,44618.04297,44618.04297,0
2020-12-03,44632.65234,44632.65234,44632.65234,44632.65234,44632.65234,0
2020-12-04,45079.55469,45079.55469,45079.55469,45079.55469,45079.55469,0
2020-12-07,45426.96875,45426.96875,45426.96875,45426.96875,45426.96875,0
2020-12-08,45608.50781,45608.50781,45608.50781,45608.50781,45608.50781,0
2020-12-09,46103.5,46103.5,46103.5,46103.5,46103.5,0
2020-12-10,45959.875,45959.875,45959.875,45959.875,45959.875,0
